name,condition,BATCH
pyrE,noGlu,0
pyrE,noGlu,1
pyrE,noGlu,2
tbsP,noGlu,0
tbsP,noGlu,1
tbsP,noGlu,2
trmB,noGlu,0
trmB,noGlu,1
trmB,noGlu,2
trmBtbsP,noGlu,0
trmBtbsP,noGlu,1
trmBtbsP,noGlu,2
pyrE,glu01,0
pyrE,glu01,1
pyrE,glu01,2
tbsP,glu01,0
tbsP,glu01,1
tbsP,glu01,2
trmB,glu01,0
trmB,glu01,1
trmB,glu01,2
trmBtbsP,glu01,0
trmBtbsP,glu01,1
trmBtbsP,glu01,2
pyrE,glu05,0
pyrE,glu05,1
pyrE,glu05,2
tbsP,glu05,0
tbsP,glu05,1
tbsP,glu05,2
trmB,glu05,0
trmB,glu05,1
trmB,glu05,2
trmBtbsP,glu05,0
trmBtbsP,glu05,1
trmBtbsP,glu05,2
