new_name	biorep	techrep	variable	index
glu01_HvCa+ura50__trmB_1	1	1	131	1
glu01_HvCa+ura50__trmB_2	1	2	171	2
glu01_HvCa+ura50__trmB_3	1	3	179	3
glu01_HvCa+ura50__trmB_4	2	1	38	4
glu01_HvCa+ura50__trmB_5	2	2	45	5
glu01_HvCa+ura50__trmB_6	2	3	106	6
glu01_HvCa+ura50__trmB_7	3	1	18	7
glu01_HvCa+ura50__trmB_8	3	2	47	8
glu01_HvCa+ura50__trmB_9	3	3	128	9
glu01_HvCa+ura50_parent_1	1	1	24	18
glu01_HvCa+ura50_parent_2	1	2	103	19
glu01_HvCa+ura50_parent_3	1	3	114	20
glu01_HvCa+ura50_parent_4	2	1	55	21
glu01_HvCa+ura50_parent_5	2	2	70	22
glu01_HvCa+ura50_parent_6	2	3	97	23
glu01_HvCa+ura50_parent_7	3	1	34	24
glu01_HvCa+ura50_parent_8	3	2	117	25
glu01_HvCa+ura50_parent_9	3	3	150	26
glu01_HvCa+ura50_trmB-HA_1	1	1	5	27
glu01_HvCa+ura50_trmB-HA_2	1	2	37	28
glu01_HvCa+ura50_trmB-HA_3	1	3	157	29
glu01_HvCa+ura50_trmB-HA_4	2	1	26	30
glu01_HvCa+ura50_trmB-HA_5	2	2	53	31
glu01_HvCa+ura50_trmB-HA_6	2	3	143	32
glu01_HvCa+ura50_trmB-HA_7	3	1	4	33
glu01_HvCa+ura50_trmB-HA_8	3	2	115	34
glu01_HvCa+ura50_trmB-HA_9	3	3	135	35
glu01_HvCa+ura50+nov10__trmB+p_1	1	1	51	36
glu01_HvCa+ura50+nov10__trmB+p_2	1	2	78	37
glu01_HvCa+ura50+nov10__trmB+p_3	1	3	155	38
glu01_HvCa+ura50+nov10__trmB+p_4	2	1	56	39
glu01_HvCa+ura50+nov10__trmB+p_5	2	2	83	40
glu01_HvCa+ura50+nov10__trmB+p_6	2	3	148	41
glu01_HvCa+ura50+nov10__trmB+p_7	3	1	3	42
glu01_HvCa+ura50+nov10__trmB+p_8	3	2	98	43
glu01_HvCa+ura50+nov10__trmB+p_9	3	3	134	44
glu01_HvCa+ura50+nov10__trmB+ptrmB_1	1	1	7	45
glu01_HvCa+ura50+nov10__trmB+ptrmB_2	1	2	39	46
glu01_HvCa+ura50+nov10__trmB+ptrmB_3	1	3	49	47
glu01_HvCa+ura50+nov10__trmB+ptrmB_4	2	1	33	48
glu01_HvCa+ura50+nov10__trmB+ptrmB_5	2	2	88	49
glu01_HvCa+ura50+nov10__trmB+ptrmB_6	2	3	89	50
glu01_HvCa+ura50+nov10__trmB+ptrmB_7	3	1	84	51
glu01_HvCa+ura50+nov10__trmB+ptrmB_8	3	2	105	52
glu01_HvCa+ura50+nov10__trmB+ptrmB_9	3	3	124	53
glu01_HvCa+ura50+nov10__trmB+ptrmB-HA_1	1	1	8	54
glu01_HvCa+ura50+nov10__trmB+ptrmB-HA_2	1	2	94	55
glu01_HvCa+ura50+nov10__trmB+ptrmB-HA_3	1	3	178	56
glu01_HvCa+ura50+nov10__trmB+ptrmB-HA_4	2	1	57	57
glu01_HvCa+ura50+nov10__trmB+ptrmB-HA_5	2	2	74	58
glu01_HvCa+ura50+nov10__trmB+ptrmB-HA_6	2	3	125	59
glu01_HvCa+ura50+nov10__trmB+ptrmB-HA_7	3	1	29	60
glu01_HvCa+ura50+nov10__trmB+ptrmB-HA_8	3	2	46	61
glu01_HvCa+ura50+nov10__trmB+ptrmB-HA_9	3	3	75	62
glu01_HvCa+ura50+nov10_parent+p_1	1	1	16	74
glu01_HvCa+ura50+nov10_parent+p_2	1	2	93	75
glu01_HvCa+ura50+nov10_parent+p_3	1	3	96	76
glu01_HvCa+ura50+nov10_parent+p_4	2	1	44	77
glu01_HvCa+ura50+nov10_parent+p_5	2	2	149	78
glu01_HvCa+ura50+nov10_parent+p_6	2	3	159	79
glu01_HvCa+ura50+nov10_parent+p_7	3	1	118	80
glu01_HvCa+ura50+nov10_parent+p_8	3	2	139	81
glu01_HvCa+ura50+nov10_parent+p_9	3	3	188	82
glu01_HvCa+ura50+nov10_parent+ptrmB_1	1	1	19	83
glu01_HvCa+ura50+nov10_parent+ptrmB_2	1	2	107	84
glu01_HvCa+ura50+nov10_parent+ptrmB_3	1	3	162	85
glu01_HvCa+ura50+nov10_parent+ptrmB_4	2	1	156	86
glu01_HvCa+ura50+nov10_parent+ptrmB_5	2	2	158	87
glu01_HvCa+ura50+nov10_parent+ptrmB_6	2	3	169	88
glu01_HvCa+ura50+nov10_parent+ptrmB_7	3	1	58	89
glu01_HvCa+ura50+nov10_parent+ptrmB_8	3	2	68	90
glu01_HvCa+ura50+nov10_parent+ptrmB_9	3	3	152	91
glu01_HvCa+ura50+nov10_parent+ptrmB-HA_1	1	1	31	92
glu01_HvCa+ura50+nov10_parent+ptrmB-HA_2	1	2	35	93
glu01_HvCa+ura50+nov10_parent+ptrmB-HA_3	1	3	54	94
glu01_HvCa+ura50+nov10_parent+ptrmB-HA_4	2	1	95	95
glu01_HvCa+ura50+nov10_parent+ptrmB-HA_5	2	2	126	96
glu01_HvCa+ura50+nov10_parent+ptrmB-HA_6	2	3	167	97
glu01_HvCa+ura50+nov10_parent+ptrmB-HA_7	3	1	86	98
glu01_HvCa+ura50+nov10_parent+ptrmB-HA_8	3	2	144	99
glu01_HvCa+ura50+nov10_parent+ptrmB-HA_9	3	3	175	100
NA_HvCa+ura50__trmB_1	1	1	71	101
NA_HvCa+ura50__trmB_2	1	2	133	102
NA_HvCa+ura50__trmB_3	1	3	137	103
NA_HvCa+ura50__trmB_4	2	1	73	104
NA_HvCa+ura50__trmB_5	2	2	122	105
NA_HvCa+ura50__trmB_6	2	3	130	106
NA_HvCa+ura50__trmB_7	3	1	65	107
NA_HvCa+ura50__trmB_8	3	2	138	108
NA_HvCa+ura50__trmB_9	3	3	151	109
NA_HvCa+ura50_parent_1	1	1	79	120
NA_HvCa+ura50_parent_2	1	2	170	121
NA_HvCa+ura50_parent_3	1	3	197	122
NA_HvCa+ura50_parent_4	2	1	12	123
NA_HvCa+ura50_parent_5	2	2	77	124
NA_HvCa+ura50_parent_6	2	3	87	125
NA_HvCa+ura50_parent_7	3	1	15	126
NA_HvCa+ura50_parent_8	3	2	108	127
NA_HvCa+ura50_parent_9	3	3	123	128
NA_HvCa+ura50_trmB-HA_1	1	1	17	129
NA_HvCa+ura50_trmB-HA_2	1	2	85	130
NA_HvCa+ura50_trmB-HA_3	1	3	112	131
NA_HvCa+ura50_trmB-HA_4	2	1	48	132
NA_HvCa+ura50_trmB-HA_5	2	2	132	133
NA_HvCa+ura50_trmB-HA_6	2	3	173	134
NA_HvCa+ura50_trmB-HA_7	3	1	104	135
NA_HvCa+ura50_trmB-HA_8	3	2	187	136
NA_HvCa+ura50_trmB-HA_9	3	3	193	137
NA_HvCa+ura50+nov10__trmB+p_1	1	1	14	138
NA_HvCa+ura50+nov10__trmB+p_2	1	2	127	139
NA_HvCa+ura50+nov10__trmB+p_3	1	3	184	140
NA_HvCa+ura50+nov10__trmB+p_4	2	1	66	141
NA_HvCa+ura50+nov10__trmB+p_5	2	2	113	142
NA_HvCa+ura50+nov10__trmB+p_6	2	3	142	143
NA_HvCa+ura50+nov10__trmB+p_7	3	1	50	144
NA_HvCa+ura50+nov10__trmB+p_8	3	2	146	145
NA_HvCa+ura50+nov10__trmB+p_9	3	3	189	146
NA_HvCa+ura50+nov10__trmB+ptrmB_1	1	1	27	147
NA_HvCa+ura50+nov10__trmB+ptrmB_2	1	2	62	148
NA_HvCa+ura50+nov10__trmB+ptrmB_3	1	3	147	149
NA_HvCa+ura50+nov10__trmB+ptrmB_4	2	1	13	150
NA_HvCa+ura50+nov10__trmB+ptrmB_5	2	2	163	151
NA_HvCa+ura50+nov10__trmB+ptrmB_6	2	3	196	152
NA_HvCa+ura50+nov10__trmB+ptrmB_7	3	1	23	153
NA_HvCa+ura50+nov10__trmB+ptrmB_8	3	2	72	154
NA_HvCa+ura50+nov10__trmB+ptrmB_9	3	3	198	155
NA_HvCa+ura50+nov10__trmB+ptrmB-HA_1	1	1	22	156
NA_HvCa+ura50+nov10__trmB+ptrmB-HA_2	1	2	43	157
NA_HvCa+ura50+nov10__trmB+ptrmB-HA_3	1	3	166	158
NA_HvCa+ura50+nov10__trmB+ptrmB-HA_4	2	1	30	159
NA_HvCa+ura50+nov10__trmB+ptrmB-HA_5	2	2	67	160
NA_HvCa+ura50+nov10__trmB+ptrmB-HA_6	2	3	82	161
NA_HvCa+ura50+nov10__trmB+ptrmB-HA_7	3	1	25	162
NA_HvCa+ura50+nov10__trmB+ptrmB-HA_8	3	2	69	163
NA_HvCa+ura50+nov10__trmB+ptrmB-HA_9	3	3	174	164
NA_HvCa+ura50+nov10_parent+p_1	1	1	59	174
NA_HvCa+ura50+nov10_parent+p_2	1	2	76	175
NA_HvCa+ura50+nov10_parent+p_3	1	3	164	176
NA_HvCa+ura50+nov10_parent+p_4	2	1	119	177
NA_HvCa+ura50+nov10_parent+p_5	2	2	186	178
NA_HvCa+ura50+nov10_parent+p_6	2	3	194	179
NA_HvCa+ura50+nov10_parent+p_7	3	1	6	180
NA_HvCa+ura50+nov10_parent+p_8	3	2	153	181
NA_HvCa+ura50+nov10_parent+p_9	3	3	183	182
NA_HvCa+ura50+nov10_parent+ptrmB_1	1	1	136	183
NA_HvCa+ura50+nov10_parent+ptrmB_2	1	2	145	184
NA_HvCa+ura50+nov10_parent+ptrmB_3	1	3	168	185
NA_HvCa+ura50+nov10_parent+ptrmB_4	2	1	28	186
NA_HvCa+ura50+nov10_parent+ptrmB_5	2	2	32	187
NA_HvCa+ura50+nov10_parent+ptrmB_6	2	3	195	188
NA_HvCa+ura50+nov10_parent+ptrmB_7	3	1	177	189
NA_HvCa+ura50+nov10_parent+ptrmB_8	3	2	182	190
NA_HvCa+ura50+nov10_parent+ptrmB_9	3	3	185	191
NA_HvCa+ura50+nov10_parent+ptrmB-HA_1	1	1	42	192
NA_HvCa+ura50+nov10_parent+ptrmB-HA_2	1	2	116	193
NA_HvCa+ura50+nov10_parent+ptrmB-HA_3	1	3	154	194
NA_HvCa+ura50+nov10_parent+ptrmB-HA_4	2	1	36	195
NA_HvCa+ura50+nov10_parent+ptrmB-HA_5	2	2	64	196
NA_HvCa+ura50+nov10_parent+ptrmB-HA_6	2	3	172	197
NA_HvCa+ura50+nov10_parent+ptrmB-HA_7	3	1	63	198
NA_HvCa+ura50+nov10_parent+ptrmB-HA_8	3	2	129	199
NA_HvCa+ura50+nov10_parent+ptrmB-HA_9	3	3	165	200
