"","condition","media","name","n"
"1","glu01","HvCa+ura50","_trmB",9
"2","glu01","HvCa+ura50","parent",9
"3","glu01","HvCa+ura50","trmB-HA",9
"4","glu01","HvCa+ura50+nov10","_trmB+p",9
"5","glu01","HvCa+ura50+nov10","_trmB+ptrmB",9
"6","glu01","HvCa+ura50+nov10","_trmB+ptrmB-HA",9
"7","glu01","HvCa+ura50+nov10","parent+p",9
"8","glu01","HvCa+ura50+nov10","parent+ptrmB",9
"9","glu01","HvCa+ura50+nov10","parent+ptrmB-HA",9
"10",NA,"HvCa+ura50","_trmB",9
"11",NA,"HvCa+ura50","parent",9
"12",NA,"HvCa+ura50","trmB-HA",9
"13",NA,"HvCa+ura50+nov10","_trmB+p",9
"14",NA,"HvCa+ura50+nov10","_trmB+ptrmB",9
"15",NA,"HvCa+ura50+nov10","_trmB+ptrmB-HA",9
"16",NA,"HvCa+ura50+nov10","parent+p",9
"17",NA,"HvCa+ura50+nov10","parent+ptrmB",9
"18",NA,"HvCa+ura50+nov10","parent+ptrmB-HA",9
